date,day_pnl,year_month
31-12-2021,89.1,2021-12
03-01-2022,527.8,2022-01
04-01-2022,-179.85,2022-01
05-01-2022,312.95,2022-01
06-01-2022,120.5,2022-01
07-01-2022,15.75,2022-01
10-01-2022,-381.7,2022-01
11-01-2022,52.35,2022-01
12-01-2022,117.35,2022-01
13-01-2022,864.75,2022-01
14-01-2022,-68.75,2022-01
17-01-2022,-103.65,2022-01
18-01-2022,-755.75,2022-01
19-01-2022,-63.3,2022-01
20-01-2022,98.2,2022-01
21-01-2022,155.6,2022-01
24-01-2022,56.55,2022-01
25-01-2022,766.2,2022-01
27-01-2022,235.95,2022-01
28-01-2022,336.15,2022-01
31-01-2022,-80.35,2022-01
01-02-2022,259.05,2022-02
03-02-2022,-1082.6,2022-02
04-02-2022,104.3,2022-02
07-02-2022,213.15,2022-02
08-02-2022,-20.35,2022-02
09-02-2022,208.3,2022-02
10-02-2022,984,2022-02
11-02-2022,24.35,2022-02
15-02-2022,417.6,2022-02
16-02-2022,-419.75,2022-02
17-02-2022,138.25,2022-02
21-02-2022,73.1,2022-02
22-02-2022,11.45,2022-02
23-02-2022,232.1,2022-02
25-02-2022,-114.9,2022-02
28-02-2022,58.4,2022-02
02-03-2022,-1142.45,2022-03
03-03-2022,717.4,2022-03
04-03-2022,-519.75,2022-03
14-03-2022,104.95,2022-03
15-03-2022,-111.9,2022-03
16-03-2022,13.65,2022-03
17-03-2022,1952.8,2022-03
21-03-2022,-226.05,2022-03
22-03-2022,135.25,2022-03
23-03-2022,234.55,2022-03
24-03-2022,-324.45,2022-03
25-03-2022,-419.55,2022-03
28-03-2022,538.2,2022-03
29-03-2022,-431.65,2022-03
30-03-2022,253.65,2022-03
31-03-2022,1297.8,2022-03
01-04-2022,472.05,2022-04
05-04-2022,-919.75,2022-04
06-04-2022,-140.75,2022-04
07-04-2022,-101.5,2022-04
08-04-2022,-15.9,2022-04
11-04-2022,85.55,2022-04
12-04-2022,213.6,2022-04
13-04-2022,443.1,2022-04
19-04-2022,-800.9,2022-04
20-04-2022,56.2,2022-04
21-04-2022,-61.25,2022-04
22-04-2022,151.65,2022-04
25-04-2022,-288.9,2022-04
26-04-2022,-125.75,2022-04
27-04-2022,-192.9,2022-04
28-04-2022,301,2022-04
29-04-2022,-297.45,2022-04
02-05-2022,-120.25,2022-05
04-05-2022,615.05,2022-05
05-05-2022,-118.05,2022-05
06-05-2022,-60.45,2022-05
09-05-2022,-5.55,2022-05
10-05-2022,-47.65,2022-05
11-05-2022,-565.5,2022-05
12-05-2022,551.95,2022-05
13-05-2022,397.3,2022-05
16-05-2022,-181.5,2022-05
17-05-2022,43.55,2022-05
18-05-2022,343.65,2022-05
19-05-2022,421.95,2022-05
27-05-2022,-1.35,2022-05
30-05-2022,62.55,2022-05
31-05-2022,-26.2,2022-05
01-06-2022,-375.35,2022-06
02-06-2022,1095.15,2022-06
03-06-2022,363.65,2022-06
06-06-2022,48.05,2022-06
07-06-2022,-68.1,2022-06
08-06-2022,188,2022-06
09-06-2022,-35.25,2022-06
10-06-2022,1.25,2022-06
13-06-2022,-251,2022-06
14-06-2022,-202.55,2022-06
15-06-2022,-295.3,2022-06
16-06-2022,348.4,2022-06
17-06-2022,70.1,2022-06
27-06-2022,94.4,2022-06
28-06-2022,159.8,2022-06
29-06-2022,-60,2022-06
30-06-2022,1630.75,2022-06
01-07-2022,379.8,2022-07
04-07-2022,14.05,2022-07
05-07-2022,133,2022-07
06-07-2022,177.45,2022-07
07-07-2022,420.95,2022-07
08-07-2022,186.5,2022-07
11-07-2022,43.6,2022-07
12-07-2022,205.6,2022-07
13-07-2022,106.45,2022-07
14-07-2022,564.25,2022-07
15-07-2022,53.65,2022-07
18-07-2022,405.05,2022-07
19-07-2022,41.5,2022-07
20-07-2022,82.7,2022-07
21-07-2022,99.6,2022-07
29-07-2022,156.35,2022-07
01-08-2022,151.85,2022-08
02-08-2022,-170.7,2022-08
03-08-2022,24.55,2022-08
04-08-2022,-353.1,2022-08
12-08-2022,222.15,2022-08
16-08-2022,6.1,2022-08
17-08-2022,14.45,2022-08
18-08-2022,-509.45,2022-08
19-08-2022,338.1,2022-08
22-08-2022,-98.1,2022-08
23-08-2022,77,2022-08
24-08-2022,-351.55,2022-08
25-08-2022,-193,2022-08
26-08-2022,-23.95,2022-08
29-08-2022,176.05,2022-08
30-08-2022,350.5,2022-08
01-09-2022,480.45,2022-09
02-09-2022,-101.65,2022-09
05-09-2022,10.55,2022-09
06-09-2022,-160.7,2022-09
07-09-2022,217.3,2022-09
08-09-2022,233.35,2022-09
09-09-2022,-174.3,2022-09
12-09-2022,78.45,2022-09
13-09-2022,68.85,2022-09
14-09-2022,311.45,2022-09
15-09-2022,588.4,2022-09
16-09-2022,51.3,2022-09
19-09-2022,-7.3,2022-09
20-09-2022,-146.05,2022-09
21-09-2022,-300.8,2022-09
22-09-2022,18.65,2022-09
23-09-2022,-68.15,2022-09
26-09-2022,-59.15,2022-09
27-09-2022,55.25,2022-09
28-09-2022,-630.8,2022-09
29-09-2022,453.05,2022-09
30-09-2022,383.5,2022-09
07-10-2022,-114.95,2022-10
10-10-2022,100.55,2022-10
11-10-2022,-70.6,2022-10
12-10-2022,25.2,2022-10
13-10-2022,482.5,2022-10
14-10-2022,-110.65,2022-10
17-10-2022,-0.55,2022-10
18-10-2022,50.9,2022-10
19-10-2022,14.05,2022-10
20-10-2022,462,2022-10
21-10-2022,-41.45,2022-10
27-10-2022,1128.65,2022-10
28-10-2022,171.5,2022-10
31-10-2022,-3,2022-10
02-11-2022,-168.4,2022-11
03-11-2022,1608.85,2022-11
04-11-2022,104.55,2022-11
10-11-2022,-180.6,2022-11
11-11-2022,-139.85,2022-11
14-11-2022,-158.6,2022-11
15-11-2022,72.15,2022-11
16-11-2022,191.8,2022-11
17-11-2022,479.5,2022-11
18-11-2022,31.05,2022-11
21-11-2022,86.65,2022-11
22-11-2022,156.7,2022-11
23-11-2022,-30.55,2022-11
24-11-2022,145.4,2022-11
